_key,id,str_id,name,link,icon
0,0,air,Air,,
1,1,stone,stone,Stone,Stone
2,2,grass,Grass Block,,
3,3,dirt,dirt,Dirt,Dirt
4,4,cobblestone,Cobblestone,,
5,5,planks,Wooden Planks,,
6,6,sapling,Sapling,,Saplings
7,7,bedrock,Bedrock,,
8,8,flowing_water,Flowing Water,,
9,9,water,Stationary Water,,
10,10,flowing_lava,Flowing Lava,,
11,11,lava,Stationary Lava,,
12,12,sand,sand,Sand,Sand
13,13,gravel,Gravel,,
14,14,gold_ore,Gold Ore,,
15,15,iron_ore,Iron Ore,,
16,16,coal_ore,Coal Ore,,
17,17,log,log,Oak Log,Oak Log
18,18,leaves,leaves,Oak Leaves,Oak Leaves
19,19,sponge,Sponge,,
20,20,glass,Glass,,
21,21,lapis_ore,Lapis Lazuli Ore,,
22,22,lapis_block,Lapis Lazuli Block,,
23,23,dispenser,Dispenser,,
24,24,sandstone,sandstone,Sandstone,Sandstone
25,25,noteblock,Note Block,,
26,26,bed,Bed,,Beds
27,27,golden_rail,Powered Rail,,
28,28,detector_rail,Detector Rail,,
29,29,sticky_piston,Sticky Piston,,
30,30,web,Cobweb,,
31,31,tallgrass,tallgrass,Fern,tall grass
32,32,deadbush,Dead Bush,,
33,33,piston,Piston,,
34,34,pistonarmcollision,Piston Arm Collision,,
35,35,wool,Wool,,
36,36,element_0,???,,
37,37,yellow_flower,Yellow Flower,,flowers
38,38,red_flower,Red Flower,,flowers
39,39,brown_mushroom,Brown Mushroom,,
40,40,red_mushroom,Red Mushroom,,
41,41,gold_block,Block of Gold,,
42,42,iron_block,Block of Iron,,
43,43,double_stone_slab,double_stone_slab,Stone Slab,Stone Slab
44,44,stone_slab,stone_slab,Smooth Stone Slab,Smooth Stone Slab
45,45,brick_block,Brick Block,,
46,46,tnt,TNT,,
47,47,bookshelf,Bookshelf,,
48,48,mossy_cobblestone,Mossy Cobblestone,,
49,49,obsidian,Obsidian,,
50,50,torch,Torch,,
51,51,fire,Fire,,
52,52,mob_spawner,Monster Spawner,,
53,53,oak_stairs,Oak Wood Stairs,,
54,54,chest,Chest,,
55,55,redstone_wire,Redstone Dust,,
56,56,diamond_ore,Diamond Ore,,
57,57,diamond_block,Block of Diamond,,
58,58,crafting_table,Crafting Table,,
59,59,wheat,Crops,,
60,60,farmland,Farmland,,
61,61,furnace,Furnace,,
62,62,lit_furnace,Lit Furnace,,
63,63,standing_sign,Oak Sign,,
64,64,wooden_door,Oak Door,,
65,65,ladder,Ladder,,
66,66,rail,Rail,,
67,67,stone_stairs,Cobblestone Stairs,,
68,68,wall_sign,Oak Wall Sign,,
69,69,lever,Lever,,
70,70,stone_pressure_plate,Stone Pressure Plate,,
71,71,iron_door,Iron Door,,
72,72,wooden_pressure_plate,Oak Pressure Plate,,
73,73,redstone_ore,Redstone Ore,,
